client_gb,compute_share,mean_s,n_peers,p50_s,p95_s,peer_gb,profile,tok_per_s,topology
0.45268992,0.02252364458386559,1.480806674029467,8,1.4328446892612825,1.8795084044839139,8.75155125375,continental,0.6753075992552562,A_relay
24.71392683,0.000622440589243793,8.65684237460835,2,8.545309122418612,9.757669606675506,22.6492416,continental,0.11551556060823408,B_star
19.05161643,0.0005492446318608718,9.405232124599792,3,9.291780946042747,10.650700725482677,16.9869312,continental,0.10632379794055871,B_star
15.654230190000002,0.0005062745450979318,9.949947164077633,4,9.819652488749357,11.362644002504835,13.589544960000001,continental,0.10050304624835671,B_star
9.61443243,0.00043497633793751364,11.029759447124382,8,10.84978383266842,12.732255159628465,7.5497472000000005,continental,0.09066380865275483,B_star
0.45268992,0.03204624168971876,0.47909403454887783,2,0.4362187649869155,0.7658398498428481,35.006205015,intercontinental,2.0872729107170267,A_chain
0.45268992,0.02929259425022096,0.6265461866054206,3,0.5750140086681917,0.9690350402977668,23.33747001,intercontinental,1.5960515304034066,A_chain
0.45268992,0.02707204907253336,0.7887531219393441,4,0.7367891122160364,1.1594411353589251,17.5031025075,intercontinental,1.2678238249520375,A_chain
0.45268992,0.023725408678227113,1.405799313116327,8,1.3494965043778286,1.9187427654503175,8.75155125375,intercontinental,0.7113390870729868,A_chain
0.45268992,0.024396104007347853,0.6293284869842986,2,0.577226342363909,0.9673271361910792,35.006205015,intercontinental,1.588995287329095,A_relay
0.45268992,0.019915813830612156,0.9215371954846039,3,0.8676396981966306,1.3030311671766543,23.33747001,intercontinental,1.0851433939941353,A_relay
0.45268992,0.0173361234106558,1.2317149986444433,4,1.1716428607841316,1.707325097913992,17.5031025075,intercontinental,0.8118761248345145,A_relay
0.45268992,0.01340036331300994,2.488974548240376,8,2.4092198356949774,3.1988836560996274,8.75155125375,intercontinental,0.4017718866217284,A_relay
24.71392683,0.00037117451170872107,14.518342537676038,2,14.370482534029483,16.444876477639575,22.6492416,intercontinental,0.06887838590424047,B_star
19.05161643,0.0003258307979516563,15.852606106953191,3,15.670751432140628,18.033678222544037,16.9869312,intercontinental,0.06308111065482067,B_star
15.654230190000002,0.0003011030064184225,16.728668777362547,4,16.58932897678954,18.914789160552527,13.589544960000001,intercontinental,0.059777619684431384,B_star
9.61443243,0.00025827942054242064,18.57245905604006,8,18.317405652163178,21.04107749655711,7.5497472000000005,intercontinental,0.053843166216311245,B_star
